hdp_shardid,skclientkey,device_naturalkey,dispensingdevicename
16,11846,-2147459286,2W-M
16,11846,-2147459287,old2E-M
16,11846,-2147459673,8MST
16,11846,-2147460336,CSSM-2
16,11846,-2147460337,CSSM-1
16,11846,-2147460338,AS-OR-6
16,11846,-2147460339,AS-EPLAB2
16,11846,-2147460340,AS-EPLAB1
16,11846,-2147460341,PREOP-1
16,11846,-2147460342,PREOP-2
16,11846,-2147460343,CVPREOP
16,11846,-2147461167,3S-M
16,11846,-2147461168,3SEM
16,11846,-2147461169,5NWM
16,11846,-2147461170,5W-M
16,11846,-2147461171,PHARMMAIN
16,11846,-2147461172,7W-M
16,11846,-2147461173,7E-M
16,11846,-2147461174,7MST
16,11846,-2147461175,EDPODB
16,11846,-2147461176,7T-M
16,11846,-2147461177,TEST2
16,11846,-2147461178,EDTRIAGE
16,11846,-2147461179,7NWM
16,11846,-2147461180,7N-M
16,11846,-2147461181,7NEM
16,11846,-2147461182, 
16,11846,-2147461143,EDPODC
16,11846,-2147461144,ENDO-3
16,11846,-2147461145,ENDO-2
16,11846,-2147461146,ENDO-1
16,11846,-2147461147,EDPODG
16,11846,-2147461148,EDPODF
16,11846,-2147461149,EDPODD
16,11846,-2147461150,EDPODA
16,11846,-2147461151,ZZ-2DRW
16,11846,-2147461152,4NWM
16,11846,-2147461153,4N-M
16,11846,-2147461154,4W-M
16,11846,-2147461155,4E-M
16,11846,-2147461156,4MST-2
16,11846,-2147461157,4MST-1
16,11846,-2147461158,4NEM
16,11846,-2147461159,RADNSG-3
16,11846,-2147461160,RADNSG-2
16,11846,-2147461161,RADNSG-1
16,11846,-2147461162,5E-M1
16,11846,-2147461163,5MST
16,11846,-2147461164,3NEM
16,11846,-2147461165,5E-M_RESP
16,11846,-2147461166,3SWM
3,13671,-2147456420,OLD-NucMed
3,13671,-2147456421,ICU2
3,13671,-2147456422,old-PACU
3,13671,-2147456423,OLD-OPPACU
3,13671,-2147456424,OBS
3,13671,-2147456425,NICU
3,13671,-2147456426,LD3
3,13671,-2147456427,LD2
3,13671,-2147456428,Perfusion
3,13671,-2147456429,OLD-ICU
3,13671,-2147456430,OLD-ENDO
3,13671,-2147456431,EDOVERFLOW
3,13671,-2147456432,OLD-ED2
3,13671,-2147456433,OLD-ED1
3,13671,-2147456434,OLD-CCU
3,13671,-2147456435,OLD-CATH2
3,13671,-2147456436,OLD-CATH1
3,13671,-2147456437,OLD-4MNN2
3,13671,-2147456438,OLD-NIGHTLOCKER
3,13671,-2147443154,ANES_CATH3
3,13671,-2147445214,OLD-2HTU
3,13671,-2147452624,OLD-ANES_SSOR2
3,13671,-2147452625,OLD-ANES_MOR5
3,13671,-2147452626,OLD-ANES_MOR4
3,13671,-2147452627,OLD-ANES_MOR3
3,13671,-2147452628,OLD-ANES_MOR2
3,13671,-2147452874,OLD-ANES_SSOR1
3,13671,-2147452875,OLD-ANES_MOR6
3,13671,-2147452876,OLD-ANES_MOR1
3,13671,-2147453285,Pyxis Link
3,13671,-2147456417,OLD-OPPACUMAIN
3,13671,-2147456418,OLD-CT_SCAN
3,13671,-2147456419,OLD-OR_CORE
3,13671,-2147442250,ED1
3,13671,-2147442251,CT_SCAN
3,13671,-2147442252,CATH2
3,13671,-2147442253,CATH1
3,13671,-2147442254,4MNN2
3,13671,-2147442255,3MNN2
3,13671,-2147442256,3MNN1
3,13671,-2147442257,ZZ2MNN4
3,13671,-2147442258,2MNN3
3,13671,-2147442259,2MNN2
3,13671,-2147442260,2MNN1
3,13671,-2147442261,2HTU
3,13671,-2147442262,ANES_SSOR2
3,13671,-2147442263,ANES_SSOR1
3,13671,-2147442264,ANES_MOR6
3,13671,-2147442265,ANES_MOR5
3,13671,-2147442266,ANES_MOR4
3,13671,-2147442267,ANES_MOR3
3,13671,-2147442268,ANES_MOR2
3,13671,-2147442269,ANES_MOR1
3,13671,-2147456439,old-3MNN2
3,13671,-2147456440,OLD-3MNN1
3,13671,-2147456441,OLD-2MNN2
3,13671,-2147456442,OLD-2MNN1
3,13671,-2147456443,2HTUOLD
3,13671,-2147456444,2MNN4
3,13671,-2147456445,OLD-2MNN3
3,13671,-2147456446, 
3,13671,-2147442238,Perfusion
3,13671,-2147442239,PACU
3,13671,-2147442240,OR_CORE
3,13671,-2147442241,OPPACUMAIN
3,13671,-2147442242,ZZOPPACU
3,13671,-2147442243,NucMed
3,13671,-2147442244,NIGHTLOCKER
3,13671,-2147442245,ZZICU2
3,13671,-2147442246,ICU
3,13671,-2147442247,ENDO
3,13671,-2147442248,ZZEDOVERFLOW
3,13671,-2147442249,ED2
3,13671,-2147442270,ZZANES_CATH3
3,13671,-2147442271,CCU
3,13921,-2147445252,SURGQ
3,13921,-2147445253,CNQ
3,13921,-2147445254,EDQ
3,13921,-2147445263,
3,13921,-2147445264,Pyxis Link
3,13921,-2147442461,UTQOR1
3,13921,-2147442462,UTQOR2
3,13921,-2147442175,GI LAB
4,10163,-2147471172,TJ3WEST-1
4,10163,-2147471173,TJ3NW
4,10163,-2147471174,TJ3N-E
4,10163,-2147471175,TJ3G-MRI
4,10163,-2147471176,TJ3G-FLUO
4,10163,-2147471177,TJ3G-CT2
4,10163,-2147471178,TJ3G-CT1
4,10163,-2147471179,TJ3EAST
4,10163,-2147471180,TJ3CENTER
4,10163,-2147471181,TJ5GIB-OR2
4,10163,-2147471182,TJ14THOM
4,10163,-2147471183,TJ2290IV1
4,10163,-2147471184,TJ13PAV2
4,10163,-2147471185,TJ13PAV
4,10163,-2147471186,TJ12THOM
4,10163,-2147471187,TJED-OVRFL
4,10163,-2147471188,TJ12PAV
4,10163,-2147471189,TJ11PAV
4,10163,-2147471190,TJ10THOM
4,10163,-2147471191,TJ10PAV2
4,10163,-2147471192,TJ10PAV
4,10163,-2147471193,TJ3NC
4,10163,-2147471194, 
4,10163,-2147445783,TJ2290-IV
4,10163,-2147445784,TJ2290-iv
4,10163,-2147445782,TJ2290-IV
4,10163,-2147445758,TJTRAV-4
4,10163,-2147445759,TJTRAV-3
4,10163,-2147445760,TJTRAV-2
4,10163,-2147445761,TJTRAV-1
4,10163,-2147445757,TJTRAV-1
4,10163,-2147471139,TJ9NC
4,10163,-2147471140,TJ9EAST
4,10163,-2147471141,TJ9DCP-PAV
4,10163,-2147471142,TJ9CENTER
4,10163,-2147471143,TJ7WEST
4,10163,-2147471144,TJ3ULTRA_2drawer
4,10163,-2147471145,TJ7PAV-OR
4,10163,-2147471146,TJ7NW
4,10163,-2147471147,TJ7NORTH
4,10163,-2147471148,TJ7NE
4,10163,-2147471149,TJ7NC
4,10163,-2147471150,TJ7GIB-OR2
4,10163,-2147471151,TJ7GIB-OR
4,10163,-2147471152,TJ7GIB-ABX
4,10163,-2147471153,TJ7EAST
4,10163,-2147471154,TJ7CENTER
4,10163,-2147471171,TJ3XRAY
4,10163,-2147471170,TJ-JSCOAT
4,10163,-2147471169,TJ4NW
4,10163,-2147471168,TJ4WEST
4,10163,-2147471167,TJCVIR-1
4,10163,-2147471166,TJCVIR-2
4,10163,-2147471165,TJCVIR-3
4,10163,-2147471164,TJCVIR-4
4,10163,-2147471163,TJ5CENTER
4,10163,-2147471162,TJPACU5PAV
4,10163,-2147471161,TJ5GIB-ABX
4,10163,-2147471160,TJ5GIB-OR
4,10163,-2147471159,TJ5NW
4,10163,-2147471158,TJ5PAV-ABX
4,10163,-2147471157,TJ5PAV-OR
4,10163,-2147471156,TJ5THOM-OR
4,10163,-2147471155,TJ5WEST
4,10163,-2147445657,TJTRAV-5
4,10163,-2147445561,TJCATHHOLD-new
4,10163,-2147445196,TJDR-7T
4,10163,-2147445187,TJ9NW2
4,10163,-2147445186,TJ9NW2
4,10163,-2147445185,tj9
4,10163,-2147445182,TJ9NW2
4,10163,-2147445183,TJNW2
4,10163,-2147445184,TJ9W2
4,10163,-2147471041,TJDR-2
4,10163,-2147471042,TJDR-1
4,10163,-2147471043,TJBLOCK3
4,10163,-2147471044,TJBLOCK2
4,10163,-2147471045,TJBLOCK1
4,10163,-2147471046,TJ7GIB-45
4,10163,-2147471047,TJ7GIB-44
4,10163,-2147471048,TJ7GIB-43
4,10163,-2147471049,TJ7GIB-42
4,10163,-2147471050,TJ7GIB-41
4,10163,-2147471051,TJ7GIB-40
4,10163,-2147471052,TJ7GIB-39
4,10163,-2147471053,TJ7GIB-38
4,10163,-2147471054,TJ7GIB-37
4,10163,-2147471055,TJ7GIB-36
4,10163,-2147471056,TJ7GIB-35
4,10163,-2147471057,TJ7GIB-34
4,10163,-2147471058,TJ7GIB-33
4,10163,-2147471059,TJ7GIB-32
4,10163,-2147471060,TJ7GIB-31
4,10163,-2147471061,TJ7GIB-30
4,10163,-2147471062,TJGIB-BKUP
4,10163,-2147471063,TJ5PAV-8
4,10163,-2147471064,TJ5PAV-7
4,10163,-2147471065,TJ5PAV-6
4,10163,-2147471066,TJ5PAV-5
4,10163,-2147471067,TJ5PAV-4
4,10163,-2147471068,TJ5PAV-3
4,10163,-2147471069,TJ5PAV-2
4,10163,-2147471070,TJ5PAV-1
4,10163,-2147471071,TJ5GIB-25
4,10163,-2147471072,TJ5GIB-24
4,10163,-2147446822,TJ9EAST-2
4,10163,-2147446823,TJ3ULTRA
4,10163,-2147449373,TJURO-15
4,10163,-2147449374,TJURO-15_ES
4,10163,-2147453795,Pyxis Link
4,10163,-2147470429,TJED-MAIN
4,10163,-2147470882,JHN-RHEUM
4,10163,-2147471014,TJ5PAV-OR2
4,10163,-2147471016,JHN-COBULT
4,10163,-2147471017,JHN-COBMRI
4,10163,-2147471018,TJURO-16
4,10163,-2147471019,TJURO-15_ESx
4,10163,-2147471020,TJURO-14
4,10163,-2147471021,TJSIMLAB
4,10163,-2147471022,TJJSC-98
4,10163,-2147471023,TJJSC-97
4,10163,-2147471040,TJENDO-89
4,10163,-2147471039,TJENDO-90
4,10163,-2147471038,TJENDO-91
4,10163,-2147471037,TJENDO-92
4,10163,-2147471036,TJCATH-ANS
4,10163,-2147471035,TJENDO-94
4,10163,-2147471034,TJEP-ANS1
4,10163,-2147471033,TJEP-ANS2
4,10163,-2147471032,TJEP-ANS3
4,10163,-2147471031,TJER-OR
4,10163,-2147471030,TJIEU-1
4,10163,-2147471029,TJIEU-2
4,10163,-2147471028,TJIEU-3
4,10163,-2147471027,TJIEU-4
4,10163,-2147471026,TJIEU-5
4,10163,-2147471025,TJJSC-95
4,10163,-2147471024,TJJSC-96
4,10163,-2147471106,TJ-JSLANS
4,10163,-2147471107,TJ-JSSEW
4,10163,-2147471108,TJCVIR
4,10163,-2147471109,TJED-MAIN2
4,10163,-2147471110,TJED-MAIN_ESold
4,10163,-2147471111,TJED-CT
4,10163,-2147471112,TJED-CRASH
4,10163,-2147471113,TJDR
4,10163,-2147471114,TJ4NE
4,10163,-2147471115,TJ4EAST
4,10163,-2147471116,TJNOVA_OLD
4,10163,-2147471117,TJCHEMO2
4,10163,-2147471118,TJ2290
4,10163,-2147471119,TJCHEMO
4,10163,-2147471120,TJCATHHOLD
4,10163,-2147471121,TJCATH3
4,10163,-2147471138,TJ9NE
4,10163,-2147471137,TJ9NW
4,10163,-2147471136,TJ9PAV
4,10163,-2147471135,TJ9PAV2
4,10163,-2147471134,TJ9THOM
4,10163,-2147471133,TJ9WEST
4,10163,-2147471132,TJADU
4,10163,-2147471131,TJ14PAV
4,10163,-2147471130,TJBOD-CT
4,10163,-2147471129,TJBOD-ONC
4,10163,-2147471128,TJBODINE
4,10163,-2147471127,TJBRONCH
4,10163,-2147471126,TJBRYNMAWR_OLD
4,10163,-2147471125,TJCARDIAC1_old
4,10163,-2147471124,TJCATH4
4,10163,-2147471123,TJCATH2
4,10163,-2147471122,TJCATH1
4,10163,-2147471073,TJ5GIB-23
4,10163,-2147471074,TJ5GIB-22
4,10163,-2147471075,TJ5GIB-21
4,10163,-2147471076,TJ5CENTER2
4,10163,-2147471077,TJ5NE-2
4,10163,-2147471078,TJVASC
4,10163,-2147471079,TJSTRESS
4,10163,-2147471080,TJSPU2
4,10163,-2147471081,TJSPU
4,10163,-2147471082,TJSIMLAB_ES
4,10163,-2147471083,TJ7EAST2
4,10163,-2147471084,TJ7SE
4,10163,-2147471085,TJSICKLE
4,10163,-2147471086,TJ3EAST-2
4,10163,-2147471087,TJ3THOM
4,10163,-2147471088,TJPULMNRY_ES
4,10163,-2147471105,TJENDO
4,10163,-2147471104,TJEP-LAB2
4,10163,-2147471103,TJEPLAB1
4,10163,-2147471102,TJ5NE
4,10163,-2147471101,TJICN
4,10163,-2147471100,TJIEU
4,10163,-2147471099,TJ-JSAMER
4,10163,-2147471098,TJJSC
4,10163,-2147471097,TJ5EAST
4,10163,-2147471096,TJ5SE
4,10163,-2147471095,TJMOB-BIC
4,10163,-2147471094,TJ3SE
4,10163,-2147471093,TJ9SE-2
4,10163,-2147471092,TJ9SE
4,10163,-2147471091,TJNUCMED
4,10163,-2147471090,TJPACU-5T
4,10163,-2147471089,TJPACU7
15,13535,-2147438155,MURORA2
15,13535,-2147438156,MURORA1
15,13535,-2147440890,MUREMS
15,13535,-2147440891,MUROR
15,13535,-2147440892,MURED
15,13535,-2147440893,MURMSU
15,13535,-2147441036,
15,13535,-2147441037,Pyxis Link
15,13535,-2147437246,MURPACU
1,14094,-2147441016, 
1,14094,-2147440972,LWSPACU
1,14094,-2147440971,LWSOR
1,14094,-2147440970,LWS2WEST
1,14094,-2147440969,LWSICU
1,14094,-2147440968,LWSECU
1,14094,-2147440967,LWS2NORTH
1,14094,-2147440966,LWS2SOUTH
1,14094,-2147440965,LWS2WEST2
1,14094,-2147440964,LWSANES6
1,14094,-2147440963,LWSANES5
1,14094,-2147440962,LWSANES4
1,14094,-2147440961,LWSANES3
1,14094,-2147440960,LWSANES2
1,14094,-2147440959,LWSANESGI
1,14094,-2147440958,LWSGI
1,14094,-2147440957,CSECTION
1,14094,-2147440941,LWSANES7
1,14094,-2147439803,LWSANES1
1,14094,-2147439802,LWS OR1
1,14094,-2147441017,Pyxis Link
1,11197,-2147452618,ZZOLD_AI_DPFOR2
1,11197,-2147452617,ZZOLD_DPF-PACU
1,11197,-2147452616,ZZOLD_DPF-ORCORE
1,11197,-2147447100,ZZOLD_GLEN-MILLS
1,11197,-2147446197,ZZOLD_MRI2
1,11197,-2147444718,ZZOLD_AI_PET-MRI
1,11197,-2147444717,ZZOLD_PET-MRI
1,11197,-2147441517,ZZOLD_SPR1
1,11197,-2147441516,ZZOLD_SPR2
1,11197,-2147439632,ZZOLD_AI_BRONCH
1,11197,-2147439245,ZZOLD_NICUNORTH
1,11197,-2147439244,ZZOLD_NICUNORTH1
1,11197,-2147439243,ZZOLD_NICUNORTH2
1,11197,-2147438994,ZZOLD_SterileRx
1,11197,-2147438318,TRAUMA2
1,11197,-2147438041,ADP
1,11197,-2147437946,CARDIACOR
1,11197,-2147476613,ZZOLD_PICU-B
1,11197,-2147476612,ZZOLD_2WEST-B
1,11197,-2147476611,ZZOLD_2WEST-C
1,11197,-2147476610,ZZOLD_PICU-A
1,11197,-2147476609,PICU-B
1,11197,-2147476608,ZZOLD_PICU-C
1,11197,-2147476607,ZZOLD_3WEST-A
1,11197,-2147476606,ZZOLD_3WEST-B
1,11197,-2147476605,ZZOLD_3WEST-C
1,11197,-2147476604,ZZOLD_3EAST-A
1,11197,-2147476603,ZZOLD_3EAST-B
1,11197,-2147476602,ZZOLD_3EAST-C
1,11197,-2147476601,ZZOLD_4WEST-A
1,11197,-2147476600,ZZOLD_4WEST-B
1,11197,-2147476599,ZZOLD_4WEST-C
1,11197,-2147476598,ZZOLD_TRIAGE
1,11197,-2147476597,ZZOLD_TRAUMA
1,11197,-2147476596,ZZOLD_EDZONE-E
1,11197,-2147476595,ZZOLD_EDZONE-CD
1,11197,-2147476594,EDZONE-A
1,11197,-2147476593,ZZOLD_2WEST-A
1,11197,-2147476592,ZZOLD_CICU
1,11197,-2147476591,ZZOLD_DIALYSIS
1,11197,-2147476590,DENTAL
1,11197,-2147437280,2WEST-B
1,11197,-2147437279,2WEST-C
1,11197,-2147437278,3EAST-A
1,11197,-2147437277,3EAST-B
1,11197,-2147437276,3EAST-C
1,11197,-2147437275,4WEST-A
1,11197,-2147437274,4WEST-B
1,11197,-2147437273,4WEST-C
1,11197,-2147437272,NICUNORTH
1,11197,-2147437271,NICUNORTH1
1,11197,-2147437270,ZZNEW_NICUNORTH2
1,11197,-2147437269,NICUSOUTH
1,11197,-2147437268,PICU-A
1,11197,-2147437267,PICU-B
1,11197,-2147437266,PICU-C
1,11197,-2147437293,4EAST-C
1,11197,-2147437292,4EAST-A
1,11197,-2147437291,4EAST-B
1,11197,-2147476619, 
1,11197,-2147476618,ZZOLD_4EAST-A
1,11197,-2147476617,ZZOLD_4EAST-B
1,11197,-2147476616,ZZOLD_4EAST-C
1,11197,-2147476615,ZZOLD_EDZONE-AB
1,11197,-2147476614,EDZONE-CE
1,11197,-2147471759,ZZOLD_AI_OR4
1,11197,-2147471758,ZZOLD_AI_OR5
1,11197,-2147471757,ZZOLD_AI_OR6
1,11197,-2147471756,ZZOLD_AI_OR7
1,11197,-2147471755,ZZOLD_AI_OR8
1,11197,-2147471754,ZZOLD_AI_OR9
1,11197,-2147471753,ZZOLD_AI_OR10
1,11197,-2147471752,ZZOLD_AI_OR11
1,11197,-2147471751,ZZOLD_AI_OR12
1,11197,-2147471750,ZZOLD_AI_MRIAS1
1,11197,-2147471749,ZZOLD_AI_MRIAS2
1,11197,-2147471748,ZZOLD_AI_SPR1
1,11197,-2147471747,ZZOLD_AI_SPR2
1,11197,-2147471746,ZZOLD_AI_ENDO1
1,11197,-2147471745,ZZOLD_AI_CATHAS1
1,11197,-2147471744,ZZOLD_AI_CATHAS2
1,11197,-2147471743,ZZOLD_AI_BMANES1
1,11197,-2147471742,AI_BMANES2
1,11197,-2147471268,ZZOLD_AI_IR-ANES
1,11197,-2147466484,ZZOLD_DENTAL
1,11197,-2147458744,ZZOLD_ANESWRKRM
1,11197,-2147453730,Pyxis Link
1,11197,-2147452620,ZZOLD_AI_DPFIND
1,11197,-2147452619,ZZOLD_AI_DPFOR1
1,11197,-2147476589,ORRX
1,11197,-2147476588,ZZOLD_CARDIACOP
1,11197,-2147476587,UTILITY
1,11197,-2147476586,ZZOLD_HEM-ONC
1,11197,-2147476296,ZZOLD_NICUSOUTH
1,11197,-2147476118,ZZOLD_CICU1
1,11197,-2147476049,ZZOLD_CICU2
1,11197,-2147476048,ZZOLD_CICU3
1,11197,-2147476047,ZZOLD_CICU4
1,11197,-2147476046,ZZOLD_2B
1,11197,-2147475780,ZZOLD_INT-RAD
1,11197,-2147475778,ZZOLD_DAYMED
1,11197,-2147475777,ZZOLD_MRI
1,11197,-2147475776,ZZOLD_IR-SUITE
1,11197,-2147475631,ZZOLD_PRE-SURG
1,11197,-2147475630,ZZOLD_PACUNORTH
1,11197,-2147475629,ZZOLD_PACUSOUTH
1,11197,-2147475628,ZZOLD_ORCOREA
1,11197,-2147475627,ZZOLD_ORCOREB
1,11197,-2147475626,ZZOLD_TRANSPORT
1,11197,-2147474350,ZZOLD_BMOR
1,11197,-2147474349,ZZOLD_BMPSPACU
1,11197,-2147471762,ZZOLD_AI_OR1
1,11197,-2147471761,ZZOLD_AI_OR2
1,11197,-2147471760,ZZOLD_AI_OR3
1,11197,-2147437211,AI_DPFIND
1,11197,-2147437210,AI_DPFOR1
1,11197,-2147437209,AI_DPFOR2
1,11197,-2147437208,AI_ENDO1
1,11197,-2147437207,AI_IR-ANES
1,11197,-2147437206,AI_MRIAS1
1,11197,-2147437205,AI_MRIAS2
1,11197,-2147437204,AI_OR1
1,11197,-2147437203,AI_OR10
1,11197,-2147437202,AI_OR11
1,11197,-2147437201,AI_OR12
1,11197,-2147437200,AI_OR2
1,11197,-2147437199,AI_OR3
1,11197,-2147437198,AI_OR4
1,11197,-2147437197,AI_OR5
1,11197,-2147437196,AI_OR6
1,11197,-2147437195,AI_OR8
1,11197,-2147437194,AI_OR9
1,11197,-2147437193,AI_PET-MRI
1,11197,-2147437192,AI_SPR1
1,11197,-2147437191,AI_SPR2
1,11197,-2147437190,AI_BMANES1
1,11197,-2147437221,AI_OR7
1,11197,-2147437265,2B
1,11197,-2147436447,DPF-RAD
1,11197,-2147436651,ED-CTSCAN
1,11197,-2147436650,FLUORO
1,11197,-2147437214,AI_BRONCH
1,11197,-2147437213,AI_CATHAS1
1,11197,-2147437212,AI_CATHAS2
1,11197,-2147437239,MRI2
1,11197,-2147437238,SPR1
1,11197,-2147437237,SPR2
1,11197,-2147437236,ORCOREA
1,11197,-2147437235,ORCOREB
1,11197,-2147437234,PACUNORTH
1,11197,-2147437233,PACUSOUTH
1,11197,-2147437232,PET-MRI
1,11197,-2147437231,PRE-SURG
1,11197,-2147437230,SterileRx
1,11197,-2147437229,TRANSPORT
1,11197,-2147437228,TRAUMA
1,11197,-2147437227,ZZNEW_TRAUMA2
1,11197,-2147437226,TRIAGE
1,11197,-2147437290,ZZNEW_4WEST-A
1,11197,-2147437289,ZZNEW_4WEST-B
1,11197,-2147437288,ZZNEW_4WEST-C
1,11197,-2147437287,ZZNEW_3EAST-A
1,11197,-2147437286,ZZNEW_3EAST-B
1,11197,-2147437285,ZZNEW_3EAST-C
1,11197,-2147437284,3WEST-A
1,11197,-2147437283,3WEST-B
1,11197,-2147437282,3WEST-C
1,11197,-2147437281,2WEST-A
1,11197,-2147437264,ZZNEW_ADP
1,11197,-2147437263,ANESWRKRM
1,11197,-2147437262,ZZNEW_
1,11197,-2147437261,BMOR
1,11197,-2147437260,BMPSPACU
1,11197,-2147437259,CARDIACOP
1,11197,-2147437258,ZZNEW_CARDIACOR
1,11197,-2147437257,CICU
1,11197,-2147437256,CICU1
1,11197,-2147437255,CICU2
1,11197,-2147437254,CICU3
1,11197,-2147437253,CICU4
1,11197,-2147437252,DAYMED
1,11197,-2147437251,DENTAL
1,11197,-2147437250,DIALYSIS
1,11197,-2147437249,DPF-ORCORE
1,11197,-2147437248,DPF-PACU
1,11197,-2147437247,EDZONE-AB
1,11197,-2147437246,EDZONE-CD
1,11197,-2147437245,EDZONE-E
1,11197,-2147437244,GLEN-MILLS
1,11197,-2147437243,HEM-ONC
1,11197,-2147437242,INT-RAD
1,11197,-2147437241,IR-SUITE
1,11197,-2147437240,MRI
19,16257,-2147437062,OPCARD
19,16257,-2147437063,MABECT
19,16257,-2147437064,OR7
19,16257,-2147437065,OR6
19,16257,-2147437066,OR5
19,16257,-2147437067,OR4
19,16257,-2147437068,OR3
19,16257,-2147437069,OR2
19,16257,-2147437070,OR1
19,16257,-2147437071,MABOR3
19,16257,-2147437072,MABOR2
19,16257,-2147437073,MABOR1
19,16257,-2147437074,OBOR2
19,16257,-2147437075,OBOR1
19,16257,-2147437076,ENDO3
19,16257,-2147437077,ENDO2
19,16257,-2147437078,ENDO4
19,16257,-2147437106,4NB
19,16257,-2147437107,4NA
19,16257,-2147437108,5NB
19,16257,-2147437109,5NA
19,16257,-2147437110, 
19,16257,-2147437111,Pyxis Link
19,16257,-2147435902,OPWOU
19,16257,-2147435903,3EAST
19,16257,-2147437079,MCATHLAB
19,16257,-2147437080,SD
19,16257,-2147437081,PED
19,16257,-2147437082,PACU
19,16257,-2147437083,ORHOLD
19,16257,-2147437084,OPRAD
19,16257,-2147437085,MABSTAGE2
19,16257,-2147437086,OPINF
19,16257,-2147437087,2W
19,16257,-2147437088,OB
19,16257,-2147437089,O4EO
19,16257,-2147437090,MABREC
19,16257,-2147437091,ORCORE
19,16257,-2147437092,MABORCORE
19,16257,-2147437093,EDPEDS
19,16257,-2147437094,EDOBS
19,16257,-2147437095,EDINT
19,16257,-2147437096,EDFC
19,16257,-2147437097,ED
19,16257,-2147437098,CSSU
19,16257,-2147437099,CCU
19,16257,-2147437100,OPRAD
19,16257,-2147437101,3EON
19,16257,-2147437102,1S
19,16257,-2147437103,4E
19,16257,-2147437104,3NB
19,16257,-2147437105,3NA
22,15967,-2147479115,EAS_RX
22,15967,-2147480801,BCSOR_RX
22,15967,-2147481359,Pyxis Link
22,15967,-2147481358, 
22,15967,-2147481357,BW01CRM
22,15967,-2147481356,BRLPMR
22,15967,-2147481355,LSCANES
22,15967,-2147481354,LSCPREOP
22,15967,-2147481353,CANTINF
22,15967,-2147481352,NVMPC
22,15967,-2147481351,NVINF
22,15967,-2147481350,EASANES
22,15967,-2147481349,EASMPC
22,15967,-2147481348,EAAINF
22,15967,-2147481347,BCSOR_RX
22,15967,-2147481346,BCSMPC
22,15967,-2147481345,BCORANES
22,15967,-2147481344,KECPACU
22,15967,-2147481343,KECPACU2
22,15967,-2147481342,KECOR_CORE
22,15967,-2147481341,EASPACU
22,15967,-2147481340,LSCPACU
22,15967,-2147481339,KECOR_RX
22,15967,-2147481338,EASMPC_D
22,15967,-2147481337,EASMPC_C
22,15967,-2147481336,EASMPC_B
22,15967,-2147481335,EASMPC_A
22,15967,-2147481334,WAINFADTU
22,15967,-2147481333,NVMPC_A
22,15967,-2147481332,NVMPC_B
22,15967,-2147481331,NVMPC_C
22,15967,-2147481330,NVMPC_D
22,15967,-2147481329,BRLBP
22,15967,-2147481328,SFLCB
22,15967,-2147481327,BCSMPC_A
22,15967,-2147481326,BCSMPC_B
22,15967,-2147481325,BCSMPC_C
22,15967,-2147481324,BCSMPC_D
22,15967,-2147481323,BCSINFS
22,15967,-2147481322,BCSINFN
22,15967,-2147481321,BCSORANES
22,15967,-2147481320,BCSORPACU
22,15967,-2147481319,BCSOBS
22,15790,-2147479323,SPR
22,15790,-2147479340,YELLOW
22,15790,-2147479339,ES-AY3
22,15790,-2147479338,SURGICENTE
22,15790,-2147479337,RR
22,15790,-2147479425,zzRAD2
22,15790,-2147482532,zzMB6A
22,15790,-2147482531,OR14
22,15790,-2147482530,zzIVT
22,15790,-2147482529,zzSPR
22,15790,-2147482528,Pyxis Link
22,15790,-2147481025,AY3
22,15790,-2147480588,BLUE
22,15790,-2147480587,GRN
22,15790,-2147480586,CATHRR
22,15790,-2147480585,CVICU
22,15790,-2147480514,ICU
22,15790,-2147480513,MB3A
22,15790,-2147480512,MB3B
22,15790,-2147480511,MB3X
22,15790,-2147479967,N3A
22,15790,-2147479966,RED
22,15790,-2147480226,MB6A
22,15790,-2147480225,MB6B
22,15790,-2147480224,MB5B
22,15790,-2147480223,MSOVF
22,15790,-2147480299,MB4A
22,15790,-2147480298,MB4B
22,15790,-2147480297,RADIOLOGY
22,15790,-2147480296,MB5A
22,15790,-2147480371,JVRDT
22,15790,-2147482593,CATHLAB_E
22,15790,-2147482592,zzMB5B
22,15790,-2147482591,zzLD
22,15790,-2147482590,CATHLAB_E
22,15790,-2147482589,OR3
22,15790,-2147482588,zzMB3B
22,15790,-2147482587,zzCATHLAB_C
22,15790,-2147482586,zzRAD2
22,15790,-2147482585,OR8
22,15790,-2147482584,zzERT
22,15790,-2147482583,WS
22,15790,-2147482582,OR10
22,15790,-2147482581,zzMB3X
22,15790,-2147479424,zzIVT
22,15790,-2147479423,OVF1
22,15790,-2147479422,JBCC2
22,15790,-2147479421,JBCC3
22,15790,-2147479420,JBCC4
22,15790,-2147479419,JBCC5
22,15790,-2147479418,JBCC1
22,15790,-2147479910,OR
22,15790,-2147479909,PURPLE
22,15790,-2147479908,RAD2
22,15790,-2147479907,PAIN_MGMNT
22,15790,-2147479906,ONC
22,15790,-2147479905,LD
22,15790,-2147479904,IVT
22,15790,-2147479965,A2MO
22,15790,-2147479964,ANES
22,15790,-2147479963,CATHLAB_D
22,15790,-2147479962,CAT
22,15790,-2147479961,CATHLAB_C
22,15790,-2147479960,CSICU
22,15790,-2147479959,ERT
22,15790,-2147479958,CATHLAB_B
22,15790,-2147479969,OB
22,15790,-2147479968,N3
